0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,book_name
0.16513824,-0.6561927,-0.4984822,-0.64511067,-1.2050892,1.1000104,0.23229769,-0.09078685,-0.1843219,-1.019018,0.47945204,0.08514002,-0.42265293,0.23929723,0.32820398,0.5084959,0.16067804,-0.34989366,0.3577352,0.020760395,-0.077579446,-0.63532406,0.20163088,-0.48369575,0.440943,0.32102692,-0.025654826,0.5622691,2.156422,0.54048145,-0.42085144,-0.30098984,0.7841956,-0.41404942,0.028563589,0.6630113,-0.075915545,-0.5622713,-0.6953483,0.042016853,0.3651209,-0.31606477,-0.7034695,-0.12827961,0.23467205,-0.20898902,0.12428253,0.043557566,-0.6944818,-0.50972176,History
-0.016877722,0.034135234,-0.45061,-0.2254514,0.9518969,0.0404533,1.0555235,0.2205396,-1.2896204,-0.5628223,0.50499976,0.42456818,-0.52568793,-0.3342584,0.83423585,-0.8566842,0.25058994,-0.1283433,0.15181825,-0.15829311,-0.31878746,0.5438321,0.61109257,-0.033335008,1.2917061,-0.11150518,1.3084093,-0.37673816,-1.2790401,-0.024081146,-0.2814141,-0.038744383,0.33240342,-0.5279051,0.62617,0.56535006,-0.0046165246,-0.36920065,-0.563537,0.2871024,0.5430638,0.54788405,0.54165864,-0.81610626,0.8328594,-0.41181767,-0.86735195,0.38136756,1.12152,-0.1478607,Psychotherapy
-0.39923528,0.064785294,-0.15993722,0.23277918,-0.7045126,0.42269528,0.34726873,-0.6913286,-0.033255555,-0.77609366,0.74737906,-0.5830581,0.05654785,-0.1890686,0.24546878,0.23743229,-0.34285337,-0.59521073,0.13968928,-0.00989243,-0.17902593,-0.49421978,0.77686673,-0.8030948,0.4569186,0.40115935,-0.16302085,0.5694605,1.4685063,-0.14208955,0.35452434,0.44708204,0.9040346,-1.4813628,0.9282082,1.061945,-0.14450659,0.3164493,-0.70594126,-0.8956883,0.60602593,-0.3584435,-0.957712,0.33604,-0.15395848,-0.12356156,0.027328257,0.35417858,-0.053766217,-0.5343934,History
0.72968876,-0.25783467,-0.26870716,-0.94367677,-1.334085,1.006422,-0.20327687,0.015596836,0.16942996,-0.5829999,0.65771246,-0.24557838,0.16170059,0.27008513,0.50124586,0.7091029,0.6933064,-0.3823359,0.7970757,0.18087782,0.8911642,-0.9547437,0.07119229,-0.6216414,0.6163902,0.31820393,-0.24817406,1.3616972,2.0748231,0.81593156,-0.65234333,-0.6000814,1.4849043,0.068465695,-0.668375,0.22773694,-0.6574256,-1.3636961,-0.5533263,0.59177005,0.16368061,-0.5026583,-0.82993025,-0.7418118,-0.32302278,-0.3941446,-0.17112607,0.005877932,-1.3965795,-0.31184408,History
-0.821615,0.34098577,-0.9033829,-1.0256435,0.26361775,-0.096666165,-0.21763797,0.25515044,-0.31046867,0.39805442,-0.5767113,0.3359049,0.66052425,0.17919113,-0.32420743,-0.7720219,0.6126208,-1.0021154,0.9152339,0.3861911,0.9410431,-0.2504128,1.0481048,0.44199294,0.9726694,-0.5002954,1.0606788,0.24604598,-0.11022259,0.24343668,-0.18636969,0.44456914,1.4677881,-0.0991483,-0.25315192,-0.6406453,-0.59444904,-0.4603784,-0.946044,0.9446369,0.6304877,-0.44318822,0.1931773,-0.58721775,0.5879002,-0.09509975,0.25857008,-0.11118771,0.5488476,-0.14247122,Music
-0.4192475,0.10005844,-0.33506456,-0.7227455,-1.2924832,0.5496809,-0.13463211,-0.7698036,0.1892998,-0.90920484,0.44018227,-0.9474726,-0.3313006,0.52264583,-0.5187018,0.7270935,-0.16362917,-1.209876,1.249714,-0.07276852,-0.07471557,-0.5508049,0.11875547,-0.30015075,-0.012568612,-0.39787722,0.042673133,0.97515213,2.49701,0.14808007,0.30122575,0.3947297,1.5842788,-1.2627133,0.3959034,1.0345334,-0.1810962,0.18238123,-1.3036844,-0.6234838,0.6857678,-0.27256557,-0.9148841,0.15690614,-0.05766262,0.27992454,0.3483204,0.32334992,-0.8112327,-0.74977696,History
-0.31684923,0.9488345,0.23957992,0.25231355,0.43425038,-0.37537673,0.47215384,-0.40370888,-0.6064557,-0.58542866,0.08343419,-0.52822846,-0.6796124,-0.85728955,0.66822064,-1.3362153,0.20173545,0.40672022,-0.05556559,-0.094702445,-0.30145055,8.7344495e-05,0.92953354,-0.3768055,0.7721193,0.05696837,1.075237,0.30721387,-0.77846473,-0.34938797,0.8145444,0.10083401,0.91080767,-0.7871688,0.66928643,0.6920259,-0.2595869,-0.4387853,-0.7295281,-0.08873149,0.2865906,0.76013577,-0.118634336,-0.7664516,0.06733566,-0.25478885,-0.54321927,0.4932715,1.1994768,-0.3568751,Psychotherapy
-0.27275977,-0.039137945,-0.055164054,-0.39164278,0.59202224,-0.35862842,0.20084025,-0.23506804,-1.060118,-0.41137594,0.27608812,0.5426492,-0.35132706,-0.24889736,0.5470106,-1.0339875,0.4768564,-0.11485225,0.30938795,0.7295748,-0.1532987,0.049948152,0.64973986,-0.6835393,0.6041441,-0.06526057,0.78142333,0.16021647,-0.6585948,-0.1231126,0.37094402,-0.10812251,0.6169586,-0.49762133,0.47827148,0.6896525,-0.10502866,-0.20986341,-0.31064886,0.0571935,0.20086896,0.063317016,0.13390972,-0.8220945,0.56204736,-0.55483687,-0.6595351,-0.057676762,1.1774682,-0.42339644,Psychotherapy
-0.06932697,0.15991808,-0.2209868,-0.2997082,0.4997334,0.42744362,0.47510055,-0.1596241,-0.9830215,-0.9380104,0.78695625,0.36124,0.0037441354,-0.928097,0.47612536,-0.940642,0.37078595,-0.38033113,0.22740203,0.3644241,0.1397349,-0.06467474,0.16268685,-0.9929065,0.6345381,-0.10959606,0.9781205,0.6387795,-0.39424923,0.24274924,0.60506153,-0.21263358,0.6867005,-0.47131875,0.54208285,0.8901529,-0.28019315,-0.08451652,-0.115505576,0.112037465,0.45942995,0.06511229,-0.35984948,-0.16273667,0.1698947,-0.4204127,-1.2133846,0.46797967,1.2682984,-0.49533752,Psychotherapy
-0.102526285,-0.006450014,-0.9240105,0.28196356,-0.048982896,0.7687758,0.318187,0.48896667,-0.069052346,-0.52167803,0.18883403,0.7002438,0.78678316,-0.7738679,0.735642,-0.02282636,-0.07239076,-0.6216221,-0.29626596,-0.2785358,-0.24707782,-0.10784036,2.106035,-0.67796856,1.528757,0.38554537,-0.3220198,-0.3962559,1.0160298,0.75503343,-0.54987067,0.025546838,0.24578837,-0.18339805,0.36444953,0.0019603195,-0.90320987,-0.2739493,0.15711665,0.25891718,0.66163194,-0.20308636,-0.59516096,0.30682194,-0.19857518,0.25890344,-0.2593288,0.4281236,1.8324007,-0.31583935,Household Management
